@relation GesturePredictions

@attribute labels {a,b,c,d,e,f,g,h,i,j,k,l}
@attribute zeroFingerFramesRatio numeric
@attribute oneFingerFramesRatio numeric
@attribute twoFingerFramesRatio numeric
@attribute threeFingerFramesRatio numeric
@attribute fourFingerFramesRatio numeric
@attribute fiveFingerFramesRatio numeric
@attribute rightFramesRatio numeric
@attribute leftFramesRatio numeric
@attribute upFramesRatio numeric
@attribute downFramesRatio numeric
@attribute forwardFramesRatio numeric
@attribute backwardFramesRatio numeric
@attribute avgGripStrength numeric
@attribute avgPinchStrength numeric
@attribute averageTipDistanceRatio numeric
@attribute avgPitch numeric
@attribute avgYaw numeric
@attribute avgRoll numeric
@attribute avgXPalmVelocity numeric
@attribute avgYPalmVelocity numeric
@attribute avgZPalmVelocity numeric
@attribute avgScaleFactor numeric
@attribute avgSphereRadius numeric

@data
k,0,0,0,0,2380,7619,2142,1428,0,476,28571,9523,0,0,3595520,4570,-1043,17652,313295,-4411058,-4156222,9794,1158151
a,677,9322,0,0,0,0,1186,1186,0,84,2542,3389,621,8502,3870367,4621,1142,-4256,237249,-125791,-275261,9867,405701
a,521,9478,0,0,0,0,1043,1304,86,0,2608,5217,494,9314,3912010,6112,1971,-5089,-9891,-200563,-151790,9872,409017
a,1732,8267,0,0,0,0,1023,1417,78,157,7086,1574,1301,9273,3808798,4820,3236,-5106,130319,-209739,70057,9870,403699
a,1651,8348,0,0,0,0,1743,2110,0,275,9174,6422,1470,9110,3780194,4979,874,-4946,-465915,-137484,-16820,9865,399196
a,1016,8983,0,0,0,0,1610,1525,84,84,4237,4237,1061,9378,3795290,6674,1616,-5512,86393,-199167,-17426,9860,408668
a,909,9090,0,0,0,0,1735,1074,0,0,7438,7438,925,9342,3818241,5353,2667,-5316,45269,-33333,24200,9866,401188
a,2323,7676,0,0,0,0,2020,1515,303,404,12121,17171,2278,9909,3374972,6309,-5589,-20,-559875,-186740,184357,9833,377152
a,1142,8857,0,0,0,0,1428,1428,190,0,5714,10476,1192,9597,3749036,5229,2161,-5440,-3555,-254020,92884,9829,404533
a,1465,8534,0,0,0,0,1896,2068,86,0,8620,10344,1428,9849,3700203,4498,2240,-5915,-534235,-152220,48273,9847,400517
a,1470,8529,0,0,0,0,1764,1666,98,0,14705,11764,1713,9384,3649174,6740,-3922,700,-137714,38622,31752,9829,388797
a,1111,8888,0,0,0,0,1759,1296,0,185,8333,11111,671,9268,3778951,4706,1490,-4715,-506169,-125232,2914,9844,404262
a,0,10000,0,0,0,0,769,1452,0,0,3418,5982,188,9724,4039381,4378,1945,-5566,134163,-69584,-13624,9884,408050
a,859,9140,0,0,0,0,1328,1093,234,78,10937,5468,1328,9301,3392811,4051,-4953,1559,-181721,-163161,119439,9878,396740
a,2031,7968,0,0,0,0,1093,1640,0,234,4687,0,1912,8847,3547394,4362,2130,-4817,372913,-254011,-3592,9925,403570
a,2888,7111,0,0,0,0,1333,962,0,74,11851,11851,2271,9503,3418064,6578,-5329,725,-515171,-221480,110417,9880,385391
